iter	Passed	Remaining
0	169	169026
1	175	87733
2	182	60776
3	188	46864
4	191	38082
5	199	33030
6	205	29126
7	210	26078
8	219	24165
9	223	22150
10	229	20611
11	234	19323
12	238	18133
13	248	17470
14	252	16581
15	258	15907
16	263	15245
17	272	14887
18	279	14416
19	284	13959
20	290	13547
21	295	13144
22	302	12847
23	307	12516
24	312	12204
25	318	11928
26	321	11599
27	327	11378
28	334	11191
29	338	10931
30	349	10928
31	353	10697
32	360	10567
33	365	10372
34	369	10178
35	378	10122
36	381	9924
37	388	9836
38	394	9716
39	398	9561
40	404	9472
41	408	9315
42	414	9217
43	419	9103
44	423	8981
45	429	8905
46	434	8803
47	438	8688
48	445	8647
49	451	8582
50	458	8540
51	467	8514
52	473	8463
53	480	8409
54	495	8509
55	502	8473
56	513	8488
57	526	8545
58	544	8686
59	554	8689
60	563	8676
61	571	8650
62	574	8547
63	579	8479
64	586	8433
65	589	8342
66	594	8275
67	603	8274
68	607	8200
69	617	8209
70	623	8155
71	630	8129
72	635	8075
73	639	8007
74	649	8013
75	653	7949
76	662	7938
77	667	7892
78	674	7863
79	683	7857
80	687	7799
81	692	7756
82	697	7710
83	704	7686
84	713	7684
85	722	7680
86	728	7640
87	734	7615
88	740	7577
89	746	7549
90	757	7564
91	760	7504
92	767	7481
93	770	7425
94	774	7374
95	783	7381
96	789	7347
97	794	7309
98	799	7275
99	803	7231
100	806	7181
101	813	7163
102	817	7116
103	820	7066
104	826	7042
105	831	7010
106	834	6963
107	841	6949
108	845	6914
109	849	6872
110	857	6864
111	861	6830
112	864	6789
113	871	6773
114	877	6751
115	880	6712
116	888	6707
117	893	6678
118	897	6644
119	905	6636
120	908	6599
121	916	6598
122	921	6573
123	924	6532
124	932	6530
125	937	6502
126	940	6461
127	948	6462
128	951	6423
129	955	6391
130	961	6377
131	968	6366
132	971	6331
133	981	6343
134	984	6311
135	988	6276
136	993	6260
137	998	6236
138	1001	6203
139	1008	6194
140	1012	6170
141	1016	6139
142	1021	6122
143	1025	6097
144	1029	6070
145	1032	6039
146	1039	6029
147	1043	6004
148	1046	5975
149	1051	5958
150	1056	5938
151	1059	5912
152	1063	5885
153	1070	5880
154	1075	5861
155	1078	5836
156	1086	5835
157	1090	5811
158	1099	5814
159	1105	5803
160	1111	5791
161	1119	5789
162	1122	5762
163	1131	5767
164	1134	5743
165	1138	5721
166	1146	5716
167	1149	5690
168	1156	5688
169	1161	5669
170	1164	5646
171	1175	5658
172	1178	5635
173	1184	5622
174	1189	5606
175	1192	5584
176	1196	5564
177	1204	5563
178	1208	5544
179	1212	5525
180	1218	5512
181	1222	5494
182	1227	5480
183	1232	5467
184	1237	5452
185	1241	5433
186	1248	5426
187	1253	5413
188	1265	5428
189	1270	5417
190	1279	5418
191	1291	5434
192	1294	5413
193	1297	5392
194	1303	5382
195	1307	5365
196	1311	5343
197	1314	5323
198	1319	5311
199	1322	5290
200	1325	5268
201	1328	5249
202	1334	5241
